epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2640.3,1.09039,0.61536,1.02531,0.99533,0.95266,0.98499,0.4639,1.78076,0.67238,1.31676,0.000773071,0.000773071,0.000773071
67,2679.76,1.09801,0.63943,1.05887,0.97849,0.93605,0.9683,0.48977,1.7467,0.66397,1.2795,0.000759318,0.000759318,0.000759318
68,2719.93,1.06687,0.61645,1.01819,0.97317,0.93961,0.97173,0.4983,1.74942,0.64059,1.27255,0.000745566,0.000745566,0.000745566
69,2760.12,1.04111,0.6205,1.00157,0.97072,0.92505,0.96784,0.49547,1.71782,0.6939,1.2757,0.000731813,0.000731813,0.000731813
70,2799.99,1.08633,0.62434,1.0182,0.98459,0.90587,0.95017,0.48249,1.70453,0.68524,1.25046,0.00071806,0.00071806,0.00071806
71,2840.05,1.0429,0.58828,1.00161,0.99,0.92493,0.97902,0.48304,1.75919,0.68232,1.30338,0.000704307,0.000704307,0.000704307
72,2880.31,1.01096,0.57227,0.99729,0.97573,0.94893,0.98637,0.50381,1.68561,0.67367,1.24505,0.000690555,0.000690555,0.000690555
73,2924.51,0.99706,0.55714,0.98611,0.95001,0.92885,0.96631,0.5022,1.68992,0.64783,1.24456,0.000676802,0.000676802,0.000676802
74,2964.45,1.06818,0.5862,1.00478,0.95656,0.95266,0.97167,0.50081,1.7091,0.66328,1.23604,0.000663049,0.000663049,0.000663049
75,3004.77,1.05031,0.59716,1.01151,0.96524,0.93873,0.97294,0.4921,1.7901,0.63752,1.35205,0.000649297,0.000649297,0.000649297
76,3045.03,1.00387,0.56209,0.99098,0.98643,0.94956,0.97484,0.49625,1.7352,0.64439,1.27716,0.000635544,0.000635544,0.000635544
77,3085.34,1.00866,0.55692,0.99056,0.9712,0.93719,0.96726,0.49598,1.74411,0.6557,1.29665,0.000621791,0.000621791,0.000621791
78,3125.78,0.97283,0.58075,1.00101,0.9736,0.91735,0.95377,0.49079,1.76646,0.6427,1.29401,0.000608038,0.000608038,0.000608038
79,3166.33,0.97327,0.55901,0.97761,0.94128,0.94871,0.95781,0.49761,1.69877,0.65105,1.26226,0.000594286,0.000594286,0.000594286
80,3206.97,1.00024,0.57646,1.0111,0.96371,0.94359,0.95439,0.50226,1.67065,0.65616,1.22372,0.000580533,0.000580533,0.000580533
81,3248.09,1.01181,0.55737,0.9995,0.98496,0.93189,0.96989,0.49846,1.72442,0.63121,1.28486,0.00056678,0.00056678,0.00056678
82,3289.55,0.98043,0.54416,0.97469,0.98344,0.91878,0.9692,0.5146,1.6842,0.65125,1.22745,0.000553027,0.000553027,0.000553027
83,3330.03,0.98828,0.56911,0.97225,0.97806,0.92741,0.97287,0.48583,1.78069,0.66161,1.31684,0.000539275,0.000539275,0.000539275
84,3369.88,0.96646,0.54477,0.99419,0.98411,0.93509,0.97029,0.50233,1.72065,0.63073,1.27219,0.000525522,0.000525522,0.000525522
85,3409.59,0.98743,0.55035,0.9854,0.98511,0.92048,0.96483,0.49571,1.72145,0.6779,1.26895,0.000511769,0.000511769,0.000511769
